    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 1732,        749694,          747974,            824,     20701,       11373,        103,     56144,       17654,        138,    1499046,       747974,        4327
 1733,        751343,          749622,            824,     22645,       11370,        109,     56170,       17670,        151,    1500778,       749622,        4153
 1734,        752935,          751213,            826,     23189,       10751,        112,     56238,       17702,        142,    1502511,       751213,        4125
 1735,        753133,          751410,            838,     21756,       11653,        104,     56246,       17709,        139,    1504245,       751410,        4156
 1736,        754572,          752848,            824,     20389,       10484,        106,     56284,       17697,        141,    1505980,       752848,        4117
 1737,        756068,          754343,            826,     20899,       10973,        103,     56338,       17701,        140,    1507716,       754343,        4158
 1738,        757408,          755682,            827,     19410,       10002,        103,     56352,       17736,        142,    1509453,       755682,        4133
 1739,        758226,          756499,            838,     19750,       10778,        103,     56354,       17729,        140,    1511191,       756499,        4159
 1740,        759571,          757843,            832,     20209,       10517,        104,     56348,       17761,        141,    1512930,       757843,        4157
 1741,        761043,          759314,            848,     22387,       11623,        104,     56411,       17763,        140,    1514670,       759314,        4165
 1742,        762295,          760565,            839,     20802,       11769,        105,     56434,       17766,       2943,    1516411,       760565,        4248
 1743,        762333,          760602,            841,     22042,       12084,        109,     56466,       17767,        138,    1518153,       760602,        4160
 1744,        763635,          761903,            841,     21400,       11186,        104,     56490,       17816,        137,    1519896,       761903,        4199
 1745,        764918,          763185,            838,     20595,       11320,        102,     56509,       17826,        137,    1521640,       763185,        4179
 1746,        765308,          763574,            854,     21450,       12512,        105,     56587,       17816,        144,    1523385,       763574,        4176
 1747,        765708,          763973,            861,     21252,       11849,        105,     56612,       17836,        139,    1525131,       763973,        4165
 1748,        766141,          764405,            857,     21346,       11629,        105,     56576,       17842,        137,    1526878,       764405,        4209
 1749,        766498,          764761,            837,     21991,       12673,        106,     56578,       17852,        138,    1528626,       764761,        4163
