   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 211,         11622,           11416,             15,      1450,         786,          8,      4953,        1512,         18,      22155,        11416,          59
 212,         11806,           11599,             15,      1648,         923,          9,      4956,        1527,         17,      22366,        11599,          59
 213,         11968,           11760,             16,      1589,         904,          9,      4986,        1531,         18,      22578,        11760,          60
 214,         12040,           11831,             16,      1582,        1045,          9,      4982,        1528,         20,      22791,        11831,          61
 215,         12067,           11857,             16,      1673,        1088,          9,      5021,        1540,         18,      23005,        11857,         109
 216,         12070,           11859,             16,      1862,        1289,          9,      5049,        1559,         18,      23220,        11859,          60
 217,         12083,           11871,             16,      1847,        1280,          8,      5075,        1567,         17,      23436,        11871,          61
 218,         12118,           11905,             16,      1710,        1130,          9,      5084,        1564,         24,      23653,        11905,          63
 219,         12152,           11938,             16,      1897,        1330,          9,      5115,        1576,         18,      23871,        11938,          63
 220,         12197,           11982,             16,      1727,        1091,          9,      5122,        1585,         19,      24090,        11982,          64
 221,         12396,           12180,             18,      2093,        1346,          9,      5123,        1596,         18,      24310,        12180,          61
 222,         12468,           12251,             17,      1865,        1119,          9,      5164,        1598,         18,      24531,        12251,          67
 223,         12591,           12373,             17,      1696,         836,          9,      5195,        1602,         17,      24753,        12373,          64
 224,         12633,           12414,             17,      1754,        1118,          9,      5242,        1617,         18,      24976,        12414,          65
 225,         12673,           12453,             17,      1928,        1330,          9,      5261,        1625,         19,      25200,        12453,          65
 226,         12779,           12558,             17,      1788,         987,          9,      5291,        1633,         19,      25425,        12558,          66
 227,         12926,           12704,             17,      1755,         982,         10,      5307,        1643,         19,      25651,        12704,          68
 228,         12972,           12749,             17,      1747,        1035,          9,      5332,        1641,         19,      25878,        12749,          65
 229,         13096,           12872,             17,      1746,        1063,          9,      5326,        1653,         18,      26106,        12872,          67
 230,         13127,           12902,             17,      1943,        1365,          9,      5382,        1657,         19,      26335,        12902,          66
 231,         13205,           12979,             18,      1804,        1219,          9,      5410,        1666,         19,      26565,        12979,          68
 232,         13341,           13114,             18,      1947,        1097,         10,      5408,        1676,         20,      26796,        13114,          70
 233,         13456,           13228,             19,      1983,        1080,          9,      5430,        1686,         19,      27028,        13228,          70
 234,         13580,           13351,             18,      2065,        1336,         10,      5451,        1692,         18,      27261,        13351,          68
 235,         13739,           13509,             18,      1727,         918,          9,      5476,        1705,         18,      27495,        13509,          71
